2026-04-18 13:06:19 | INFO | pid=31016 | thread=reco-train-queue-worker | app.ops.train_worker | Train worker started, polling_interval_seconds=3.0
2026-04-18 13:06:19 | INFO | pid=31016 | thread=MainThread | werkzeug | WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://49.140.125.102:5000
2026-04-18 13:06:19 | INFO | pid=31016 | thread=MainThread | werkzeug | Press CTRL+C to quit
2026-04-18 13:10:05 | INFO | pid=31016 | thread=Thread-1 (process_request_thread) | app.services.recommendation_service | User recommendation pop return, user_id=649125, n=20, returned=20, remaining=380, total_before_pop=400, has_next=True, cache_state=initial_hit, build_reason=none, wait_attempts=0, wait_elapsed_ms=0.00
2026-04-18 13:10:05 | INFO | pid=31016 | thread=Thread-1 (process_request_thread) | app.services.recommendation_service | User recommendation request completed, user_id=649125, mode=pop, initial_cache_hit=True, elapsed_ms=1.38
2026-04-18 13:10:05 | INFO | pid=31016 | thread=Thread-1 (process_request_thread) | werkzeug | 127.0.0.1 - - [18/Apr/2026 13:10:05] "GET /api/v1/recommend/user?user_id=649125&n=20 HTTP/1.1" 200 -
2026-04-18 13:10:05 | INFO | pid=31016 | thread=Thread-2 (process_request_thread) | app.services.recommendation_service | User recommendation pop return, user_id=649125, n=20, returned=20, remaining=360, total_before_pop=380, has_next=True, cache_state=initial_hit, build_reason=none, wait_attempts=0, wait_elapsed_ms=0.00
2026-04-18 13:10:05 | INFO | pid=31016 | thread=Thread-2 (process_request_thread) | app.services.recommendation_service | User recommendation request completed, user_id=649125, mode=pop, initial_cache_hit=True, elapsed_ms=1.01
2026-04-18 13:10:05 | INFO | pid=31016 | thread=Thread-2 (process_request_thread) | werkzeug | 127.0.0.1 - - [18/Apr/2026 13:10:05] "GET /api/v1/recommend/user?user_id=649125&n=20 HTTP/1.1" 200 -
2026-04-18 13:10:10 | INFO | pid=31016 | thread=Thread-3 (process_request_thread) | app.services.recommendation_service | Item recommendation ANN finished, movie_id=27080656, ann_candidates=21
2026-04-18 13:10:10 | INFO | pid=31016 | thread=Thread-3 (process_request_thread) | app.services.recommendation_service | Item recommendation completed, movie_id=27080656, returned=20
2026-04-18 13:10:10 | INFO | pid=31016 | thread=Thread-3 (process_request_thread) | werkzeug | 127.0.0.1 - - [18/Apr/2026 13:10:10] "GET /api/v1/recommend/item?movie_id=27080656&n=20 HTTP/1.1" 200 -
2026-04-18 13:10:42 | INFO | pid=31016 | thread=Thread-4 (process_request_thread) | app.services.recommendation_service | User recommendation pop return, user_id=649125, n=20, returned=20, remaining=340, total_before_pop=360, has_next=True, cache_state=initial_hit, build_reason=none, wait_attempts=0, wait_elapsed_ms=0.00
2026-04-18 13:10:42 | INFO | pid=31016 | thread=Thread-4 (process_request_thread) | app.services.recommendation_service | User recommendation request completed, user_id=649125, mode=pop, initial_cache_hit=True, elapsed_ms=0.75
2026-04-18 13:10:42 | INFO | pid=31016 | thread=Thread-4 (process_request_thread) | werkzeug | 127.0.0.1 - - [18/Apr/2026 13:10:42] "GET /api/v1/recommend/user?user_id=649125&n=20 HTTP/1.1" 200 -
2026-04-18 13:10:42 | INFO | pid=31016 | thread=Thread-5 (process_request_thread) | app.services.recommendation_service | User recommendation pop return, user_id=649125, n=20, returned=20, remaining=320, total_before_pop=340, has_next=True, cache_state=initial_hit, build_reason=none, wait_attempts=0, wait_elapsed_ms=0.00
2026-04-18 13:10:42 | INFO | pid=31016 | thread=Thread-5 (process_request_thread) | app.services.recommendation_service | User recommendation request completed, user_id=649125, mode=pop, initial_cache_hit=True, elapsed_ms=0.60
2026-04-18 13:10:42 | INFO | pid=31016 | thread=Thread-5 (process_request_thread) | werkzeug | 127.0.0.1 - - [18/Apr/2026 13:10:42] "GET /api/v1/recommend/user?user_id=649125&n=20 HTTP/1.1" 200 -
2026-04-18 13:10:42 | INFO | pid=31016 | thread=Thread-6 (process_request_thread) | app.services.recommendation_service | User recommendation pop return, user_id=649125, n=20, returned=20, remaining=300, total_before_pop=320, has_next=True, cache_state=initial_hit, build_reason=none, wait_attempts=0, wait_elapsed_ms=0.00
2026-04-18 13:10:42 | INFO | pid=31016 | thread=Thread-6 (process_request_thread) | app.services.recommendation_service | User recommendation request completed, user_id=649125, mode=pop, initial_cache_hit=True, elapsed_ms=0.45
2026-04-18 13:10:42 | INFO | pid=31016 | thread=Thread-6 (process_request_thread) | werkzeug | 127.0.0.1 - - [18/Apr/2026 13:10:42] "GET /api/v1/recommend/user?user_id=649125&n=20 HTTP/1.1" 200 -
2026-04-18 13:10:47 | INFO | pid=31016 | thread=Thread-7 (process_request_thread) | app.services.recommendation_service | Item recommendation ANN finished, movie_id=33438459, ann_candidates=21
2026-04-18 13:10:47 | INFO | pid=31016 | thread=Thread-7 (process_request_thread) | app.services.recommendation_service | Item recommendation completed, movie_id=33438459, returned=20
2026-04-18 13:10:47 | INFO | pid=31016 | thread=Thread-7 (process_request_thread) | werkzeug | 127.0.0.1 - - [18/Apr/2026 13:10:47] "GET /api/v1/recommend/item?movie_id=33438459&n=20 HTTP/1.1" 200 -
2026-04-18 13:10:51 | INFO | pid=31016 | thread=Thread-8 (process_request_thread) | app.services.recommendation_service | Item recommendation ANN finished, movie_id=27080656, ann_candidates=21
2026-04-18 13:10:51 | INFO | pid=31016 | thread=Thread-8 (process_request_thread) | app.services.recommendation_service | Item recommendation completed, movie_id=27080656, returned=20
2026-04-18 13:10:51 | INFO | pid=31016 | thread=Thread-8 (process_request_thread) | werkzeug | 127.0.0.1 - - [18/Apr/2026 13:10:51] "GET /api/v1/recommend/item?movie_id=27080656&n=20 HTTP/1.1" 200 -
2026-04-18 13:11:03 | INFO | pid=31016 | thread=Thread-9 (process_request_thread) | app.api.v1_search | search started, mode=tag_only, query_len=0, tag_count=1, n=12, offset=0, passthrough_keys=[]
2026-04-18 13:11:06 | INFO | pid=31016 | thread=Thread-9 (process_request_thread) | app.api.v1_search | search completed, mode=tag_only, query_len=0, tag_count=1, total=68400, returned=12
2026-04-18 13:11:06 | INFO | pid=31016 | thread=Thread-9 (process_request_thread) | werkzeug | 127.0.0.1 - - [18/Apr/2026 13:11:06] "GET /api/v1/search?n=12&offset=0&tag_id=1610 HTTP/1.1" 200 -
2026-04-18 13:11:25 | INFO | pid=31016 | thread=Thread-10 (process_request_thread) | app.api.v1_search | search started, mode=tag_only, query_len=0, tag_count=1, n=12, offset=12, passthrough_keys=[]
2026-04-18 13:11:27 | INFO | pid=31016 | thread=Thread-10 (process_request_thread) | app.api.v1_search | search completed, mode=tag_only, query_len=0, tag_count=1, total=68400, returned=12
2026-04-18 13:11:27 | INFO | pid=31016 | thread=Thread-10 (process_request_thread) | werkzeug | 127.0.0.1 - - [18/Apr/2026 13:11:27] "GET /api/v1/search?n=12&offset=12&tag_id=1610 HTTP/1.1" 200 -
2026-04-18 13:11:30 | INFO | pid=31016 | thread=Thread-11 (process_request_thread) | app.api.v1_search | search started, mode=tag_only, query_len=0, tag_count=1, n=12, offset=24, passthrough_keys=[]
2026-04-18 13:11:33 | INFO | pid=31016 | thread=Thread-11 (process_request_thread) | app.api.v1_search | search completed, mode=tag_only, query_len=0, tag_count=1, total=68400, returned=12
2026-04-18 13:11:33 | INFO | pid=31016 | thread=Thread-11 (process_request_thread) | werkzeug | 127.0.0.1 - - [18/Apr/2026 13:11:33] "GET /api/v1/search?n=12&offset=24&tag_id=1610 HTTP/1.1" 200 -
2026-04-18 13:11:43 | INFO | pid=31016 | thread=Thread-12 (process_request_thread) | app.services.recommendation_service | User recommendation pop return, user_id=649125, n=20, returned=20, remaining=280, total_before_pop=300, has_next=True, cache_state=initial_hit, build_reason=none, wait_attempts=0, wait_elapsed_ms=0.00
2026-04-18 13:11:43 | INFO | pid=31016 | thread=Thread-12 (process_request_thread) | app.services.recommendation_service | User recommendation request completed, user_id=649125, mode=pop, initial_cache_hit=True, elapsed_ms=0.85
2026-04-18 13:11:43 | INFO | pid=31016 | thread=Thread-12 (process_request_thread) | werkzeug | 127.0.0.1 - - [18/Apr/2026 13:11:43] "GET /api/v1/recommend/user?user_id=649125&n=20 HTTP/1.1" 200 -
2026-04-18 13:11:43 | INFO | pid=31016 | thread=Thread-13 (process_request_thread) | app.services.recommendation_service | User recommendation pop return, user_id=649125, n=20, returned=20, remaining=260, total_before_pop=280, has_next=True, cache_state=initial_hit, build_reason=none, wait_attempts=0, wait_elapsed_ms=0.00
2026-04-18 13:11:43 | INFO | pid=31016 | thread=Thread-13 (process_request_thread) | app.services.recommendation_service | User recommendation request completed, user_id=649125, mode=pop, initial_cache_hit=True, elapsed_ms=0.67
2026-04-18 13:11:43 | INFO | pid=31016 | thread=Thread-13 (process_request_thread) | werkzeug | 127.0.0.1 - - [18/Apr/2026 13:11:43] "GET /api/v1/recommend/user?user_id=649125&n=20 HTTP/1.1" 200 -
2026-04-18 13:11:47 | INFO | pid=31016 | thread=Thread-14 (process_request_thread) | app.services.recommendation_service | Item recommendation ANN finished, movie_id=1760104, ann_candidates=21
2026-04-18 13:11:47 | INFO | pid=31016 | thread=Thread-14 (process_request_thread) | app.services.recommendation_service | Item recommendation completed, movie_id=1760104, returned=20
2026-04-18 13:11:47 | INFO | pid=31016 | thread=Thread-14 (process_request_thread) | werkzeug | 127.0.0.1 - - [18/Apr/2026 13:11:47] "GET /api/v1/recommend/item?movie_id=1760104&n=20 HTTP/1.1" 200 -
2026-04-18 13:12:27 | INFO | pid=31016 | thread=Thread-15 (process_request_thread) | app.services.recommendation_service | Item recommendation ANN finished, movie_id=1760104, ann_candidates=21
2026-04-18 13:12:27 | INFO | pid=31016 | thread=Thread-15 (process_request_thread) | app.services.recommendation_service | Item recommendation completed, movie_id=1760104, returned=20
2026-04-18 13:12:27 | INFO | pid=31016 | thread=Thread-15 (process_request_thread) | werkzeug | 127.0.0.1 - - [18/Apr/2026 13:12:27] "GET /api/v1/recommend/item?movie_id=1760104&n=20 HTTP/1.1" 200 -
2026-04-18 13:12:57 | INFO | pid=31016 | thread=Thread-16 (process_request_thread) | app.services.recommendation_service | User recommendation pop return, user_id=649125, n=20, returned=20, remaining=240, total_before_pop=260, has_next=True, cache_state=initial_hit, build_reason=none, wait_attempts=0, wait_elapsed_ms=0.00
2026-04-18 13:12:57 | INFO | pid=31016 | thread=Thread-16 (process_request_thread) | app.services.recommendation_service | User recommendation request completed, user_id=649125, mode=pop, initial_cache_hit=True, elapsed_ms=0.59
2026-04-18 13:12:57 | INFO | pid=31016 | thread=Thread-16 (process_request_thread) | werkzeug | 127.0.0.1 - - [18/Apr/2026 13:12:57] "GET /api/v1/recommend/user?user_id=649125&n=20 HTTP/1.1" 200 -
